Time,Ask,Bid,AskVolume,BidVolume 
2015.01.01 22:00:01.413,1.21066,1.21038,0.75,1.5
2015.01.01 22:00:01.973,1.21067,1.21038,1.5,1.5
2015.01.01 22:00:03.297,1.2106,1.21038,0.75,1.5
2015.01.01 22:00:23.922,1.21059,1.21038,0.75,0.75
2015.01.01 22:00:24.507,1.21059,1.21037,0.75,0.75
2015.01.01 22:01:05.979,1.2106,1.21038,1.5,0.75
2015.01.01 22:01:08.390,1.21067,1.21038,1.5,1.5
2015.01.01 22:01:09.899,1.21066,1.21038,0.75,0.75
2015.01.01 22:01:09.950,1.21065,1.21036,0.75,0.75
2015.01.01 22:01:13.576,1.21062,1.21039,0.75,0.75
2015.01.01 22:01:19.984,1.21058,1.21039,0.75,1.5
2015.01.01 22:01:27.936,1.21058,1.21044,1.5,0.75
2015.01.01 22:01:29.511,1.21058,1.21039,1.5,1.5
2015.01.01 22:01:31.779,1.21062,1.21039,0.75,0.75
2015.01.01 22:01:36.504,1.21062,1.21041,0.75,0.75
2015.01.01 22:01:36.581,1.21064,1.21041,1.5,1.5
2015.01.01 22:01:55.232,1.21064,1.2105,1.5,0.1
2015.01.01 22:01:56.927,1.21063,1.2105,0.75,0.1
2015.01.01 22:01:57.155,1.21066,1.2105,1.5,0.1
2015.01.01 22:02:09.642,1.21061,1.2105,0.75,0.1
2015.01.01 22:02:10.320,1.2106,1.2105,0.75,0.1
2015.01.01 22:02:11.410,1.2106,1.21051,0.75,0.1
2015.01.01 22:02:23.491,1.2106,1.21043,0.75,0.82
2015.01.01 22:02:29.983,1.2106,1.21044,0.75,0.75
2015.01.01 22:02:30.606,1.21061,1.21044,1.5,1.5
2015.01.01 22:02:35.975,1.21058,1.21045,0.75,0.75
2015.01.01 22:02:36.399,1.21058,1.21045,1.53,1.5
2015.01.01 22:03:01.882,1.21055,1.21043,1.53,1.5
2015.01.01 22:03:02.755,1.21055,1.21043,1.5,1.5
2015.01.01 22:03:09.892,1.21049,1.21043,0.75,1.5
2015.01.01 22:03:10.166,1.21049,1.21037,2.25,1.5
2015.01.01 22:03:13.209,1.21049,1.21043,0.75,0.75
2015.01.01 22:03:13.259,1.21055,1.21043,1.5,1.5
2015.01.01 22:03:13.490,1.21055,1.21045,0.75,0.75
2015.01.01 22:03:13.541,1.21063,1.21045,0.75,0.75
2015.01.01 22:03:13.641,1.21063,1.21048,0.75,0.1
2015.01.01 22:03:14.915,1.21064,1.21048,0.75,0.1
2015.01.01 22:03:15.541,1.21065,1.21047,0.75,0.75
2015.01.01 22:03:20.228,1.21065,1.21049,0.75,0.1
2015.01.01 22:03:43.772,1.21063,1.21049,0.75,0.1
2015.01.01 22:04:04.036,1.21064,1.21045,1,1.12
2015.01.01 22:04:19.012,1.21062,1.21046,1,1.07
2015.01.01 22:04:23.564,1.21059,1.21044,1,1.87
2015.01.01 22:04:24.069,1.21058,1.21045,1.53,1.57
2015.01.01 22:04:26.531,1.21064,1.21056,2.47,1
2015.01.01 22:04:26.582,1.21069,1.21056,1.5,2.25
2015.01.01 22:04:36.872,1.21062,1.21052,2.5,1.87
2015.01.01 22:04:36.922,1.21056,1.21045,1,1.07
2015.01.01 22:04:36.973,1.21055,1.21045,1,1.07
2015.01.01 22:04:37.024,1.2105,1.21038,1.5,1.5
2015.01.01 22:04:37.075,1.2105,1.21043,1.5,1
2015.01.01 22:04:37.637,1.2105,1.21044,1.5,1
2015.01.01 22:04:38.314,1.2105,1.21043,2.25,1
2015.01.01 22:04:38.619,1.21054,1.21045,0.75,1.57
2015.01.01 22:04:38.771,1.21062,1.21045,1.5,1.57
2015.01.01 22:04:42.457,1.21063,1.21057,1,1
2015.01.01 22:04:42.508,1.21069,1.21057,1.5,1.5
2015.01.01 22:04:43.050,1.21069,1.21059,1,1
2015.01.01 22:04:43.102,1.21071,1.21059,1.5,1.5
2015.01.01 22:04:43.391,1.21064,1.21059,1,1
2015.01.01 22:04:43.442,1.21064,1.21054,1,1.5
2015.01.01 22:04:44.698,1.21066,1.21054,2.25,1.5
2015.01.01 22:04:44.799,1.21056,1.21051,1,1
2015.01.01 22:04:44.850,1.21056,1.21044,1.5,1.5
2015.01.01 22:04:53.308,1.21056,1.21048,1,1
2015.01.01 22:04:53.359,1.21058,1.21048,1,1.5
2015.01.01 22:04:55.420,1.21054,1.21048,1,1.5
2015.01.01 22:04:55.521,1.21054,1.21043,1,1.5
2015.01.01 22:04:58.527,1.2106,1.21048,1.5,1.5
2015.01.01 22:04:58.578,1.21059,1.21053,1,1
2015.01.01 22:04:59.539,1.21059,1.21048,1,2.25
2015.01.01 22:04:59.640,1.21055,1.21048,1,1
2015.01.01 22:04:59.741,1.21055,1.21043,2.25,1.5
2015.01.01 22:05:00.081,1.2105,1.21043,1,1
2015.01.01 22:05:00.132,1.2105,1.21038,1.5,1.5
2015.01.01 22:05:10.048,1.21049,1.21038,1,1.5
2015.01.01 22:05:13.019,1.21048,1.21038,1,1
2015.01.01 22:05:13.070,1.21048,1.21036,1.5,1.5
2015.01.01 22:05:13.120,1.21045,1.21036,1,1
2015.01.01 22:05:13.171,1.21045,1.21034,1.5,1
2015.01.01 22:05:13.272,1.21047,1.21035,1.5,2.25
2015.01.01 22:05:22.613,1.21046,1.21037,1,1
2015.01.01 22:05:35.972,1.21046,1.21039,1,1
2015.01.01 22:05:36.022,1.21048,1.21039,1.5,1.5
2015.01.01 22:05:39.676,1.21046,1.21039,1,1
2015.01.01 22:05:39.727,1.21046,1.21037,1.5,1.5
2015.01.01 22:06:01.240,1.21045,1.21037,1,1.5
2015.01.01 22:06:20.026,1.21045,1.21038,1,1
2015.01.01 22:06:24.780,1.21046,1.21038,1,1.5
2015.01.01 22:06:40.748,1.21046,1.21039,1,1
2015.01.01 22:06:47.018,1.21046,1.21042,1,1
2015.01.01 22:06:52.737,1.21046,1.21041,1.5,1
2015.01.01 22:07:12.909,1.21045,1.21041,1.5,1
2015.01.01 22:07:33.035,1.21046,1.21041,2.25,1
2015.01.01 22:07:56.580,1.21046,1.21037,2.25,1.5
2015.01.01 22:08:28.195,1.21046,1.21041,1.5,1
2015.01.01 22:08:30.696,1.21046,1.21037,1.5,1.5
2015.01.01 22:08:33.033,1.21047,1.21032,1,1
2015.01.01 22:08:46.799,1.21047,1.21033,1,1
2015.01.01 22:08:47.254,1.21045,1.21034,1,1
2015.01.01 22:08:47.893,1.21044,1.21035,1,1
2015.01.01 22:09:27.978,1.21043,1.21035,1,1
2015.01.01 22:09:28.566,1.21043,1.21034,1.5,1.5
2015.01.01 22:09:46.401,1.21039,1.21034,1,1
2015.01.01 22:09:46.454,1.21037,1.21032,1.5,1.5
2015.01.01 22:09:51.235,1.21035,1.21032,1,1
2015.01.01 22:09:51.286,1.21034,1.2103,1.5,1.5
2015.01.01 22:10:11.981,1.21035,1.21031,1.5,1.5
2015.01.01 22:10:19.384,1.21033,1.21028,1.5,1
2015.01.01 22:10:19.487,1.21035,1.21031,1.5,1.5
2015.01.01 22:10:19.846,1.21035,1.21033,1,1
2015.01.01 22:10:19.896,1.21037,1.21033,1.5,1.5
2015.01.01 22:10:40.000,1.21037,1.21034,1,1
2015.01.01 22:10:40.508,1.21038,1.21034,1,1
2015.01.01 22:11:01.022,1.21037,1.21033,1,1.5
2015.01.01 22:11:20.967,1.21037,1.21034,1,1
2015.01.01 22:11:21.474,1.21038,1.21034,1.5,1.5
2015.01.01 22:11:23.619,1.21035,1.21034,1,1
2015.01.01 22:11:23.670,1.21035,1.21031,1.5,1.5
2015.01.01 22:11:35.188,1.21033,1.21031,1,1
2015.01.01 22:11:35.239,1.21033,1.21029,1.5,1.5
2015.01.01 22:11:35.289,1.21032,1.21029,1,1
2015.01.01 22:11:35.341,1.21031,1.21027,1.5,2.25
2015.01.01 22:11:35.392,1.21029,1.21027,1,1
2015.01.01 22:11:35.443,1.21029,1.21025,1.5,1.5
2015.01.01 22:11:35.497,1.21029,1.21028,1,1
2015.01.01 22:11:35.548,1.21032,1.21028,1,1
2015.01.01 22:11:35.799,1.21033,1.21031,1,1
2015.01.01 22:11:35.850,1.21035,1.21031,1.5,1.5
2015.01.01 22:11:39.027,1.21032,1.21031,1,1
2015.01.01 22:11:39.078,1.21032,1.21028,1.5,1.5
2015.01.01 22:11:39.129,1.2103,1.21028,1,1
2015.01.01 22:11:39.180,1.2103,1.21026,1.5,1.5
2015.01.01 22:11:39.231,1.2103,1.21028,1,1
2015.01.01 22:11:39.281,1.21033,1.21029,1,1
2015.01.01 22:11:39.534,1.21033,1.21032,1,1
2015.01.01 22:11:39.585,1.21036,1.21032,1.5,1.5
2015.01.01 22:11:49.844,1.21039,1.21037,1.12,1
2015.01.01 22:11:49.895,1.21039,1.21037,1,1
2015.01.01 22:11:50.097,1.21051,1.21037,1,1.5
2015.01.01 22:11:51.034,1.21049,1.21037,1,1.5
2015.01.01 22:11:56.058,1.21046,1.21038,1,1
2015.01.01 22:11:56.361,1.21046,1.21044,1,1
2015.01.01 22:11:56.413,1.21048,1.21044,1.5,1.5
2015.01.01 22:11:56.974,1.21046,1.21034,1.5,1.5
2015.01.01 22:11:57.227,1.21046,1.21031,1.5,1.5
2015.01.01 22:11:57.430,1.21045,1.21036,1,1
2015.01.01 22:11:57.581,1.21046,1.2103,1.5,1.5
2015.01.01 22:11:57.633,1.21045,1.21036,1,1
2015.01.01 22:11:57.784,1.21046,1.2103,1.5,1.5
2015.01.01 22:11:57.986,1.21046,1.21032,1.5,1
2015.01.01 22:11:58.289,1.21045,1.21036,1.5,1.5
2015.01.01 22:12:08.336,1.21046,1.21034,1.5,1.5
2015.01.01 22:12:08.438,1.21045,1.21029,1.12,1
2015.01.01 22:12:08.539,1.21045,1.21026,1.87,1.5
2015.01.01 22:12:08.640,1.21045,1.21032,2.62,1
2015.01.01 22:12:08.994,1.21046,1.21028,2.25,2.25
2015.01.01 22:12:09.255,1.21045,1.21036,1.12,1
2015.01.01 22:12:21.200,1.21048,1.21036,1,1.5
2015.01.01 22:12:21.252,1.21051,1.21036,1.5,1.5
2015.01.01 22:12:21.360,1.21051,1.2104,1.5,1
2015.01.01 22:12:21.663,1.21057,1.21053,1.5,1.5
2015.01.01 22:12:22.212,1.21054,1.21052,1,1
2015.01.01 22:12:22.264,1.21054,1.21047,1.5,1
2015.01.01 22:12:22.366,1.21054,1.21047,1.5,2.17
2015.01.01 22:12:22.719,1.21057,1.21053,1.5,1.5
2015.01.01 22:12:27.714,1.21055,1.21052,1,1.5
2015.01.01 22:12:27.868,1.21054,1.21039,1.5,1.5
2015.01.01 22:12:42.936,1.21054,1.2104,1,1
2015.01.01 22:12:43.513,1.21053,1.21041,1.5,1.5
2015.01.01 22:12:53.236,1.21051,1.21041,1,1
2015.01.01 22:12:53.286,1.21051,1.21039,1.5,1.5
2015.01.01 22:13:13.939,1.21051,1.2104,1,1
2015.01.01 22:13:14.544,1.21052,1.2104,1.5,1.5
2015.01.01 22:13:33.966,1.21051,1.2104,1,1
2015.01.01 22:13:34.678,1.21051,1.21039,1.5,1.5
2015.01.01 22:14:34.047,1.21051,1.21035,1,1.42
2015.01.01 22:14:35.944,1.21051,1.21035,1.5,3.1
2015.01.01 22:14:36.450,1.2105,1.21035,1,4.22
2015.01.01 22:14:50.399,1.21048,1.21038,1,1
2015.01.01 22:14:50.450,1.21048,1.21036,1.5,1.5
2015.01.01 22:14:52.477,1.21048,1.21039,1,1
2015.01.01 22:14:52.528,1.21057,1.21055,1,1.12
2015.01.01 22:14:52.580,1.21064,1.2106,1,1.37
2015.01.01 22:14:52.682,1.21073,1.21064,1,1.31
2015.01.01 22:14:52.783,1.21079,1.21064,1.5,1.62
2015.01.01 22:14:52.986,1.21069,1.21061,1,1.12
2015.01.01 22:14:53.087,1.21064,1.21058,1.05,1
